state_name,year,condition_status,counts,condition
Alabama,2007,Yes,1317,chronic_htn
Alabama,2007,No,63346,chronic_htn
Alabama,2007,Unknown or Not Stated,141,chronic_htn
Alabama,2008,Yes,1449,chronic_htn
Alabama,2008,No,62838,chronic_htn
Alabama,2008,Unknown or Not Stated,259,chronic_htn
Alabama,2009,Yes,1361,chronic_htn
Alabama,2009,No,60906,chronic_htn
Alabama,2009,Unknown or Not Stated,208,chronic_htn
Alabama,2010,Yes,1456,chronic_htn
Alabama,2010,No,58520,chronic_htn
Alabama,2010,Unknown or Not Stated,74,chronic_htn
Alabama,2011,Yes,1512,chronic_htn
Alabama,2011,No,57808,chronic_htn
Alabama,2011,Unknown or Not Stated,34,chronic_htn
Alabama,2012,Yes,1511,chronic_htn
Alabama,2012,No,56887,chronic_htn
Alabama,2012,Unknown or Not Stated,50,chronic_htn
Alabama,2013,Yes,1462,chronic_htn
Alabama,2013,No,56681,chronic_htn
Alabama,2013,Unknown or Not Stated,24,chronic_htn
Alabama,2014,Yes,1636,chronic_htn
Alabama,2014,No,57759,chronic_htn
Alabama,2014,Unknown or Not Stated,27,chronic_htn
Alabama,2015,Yes,1477,chronic_htn
Alabama,2015,No,58160,chronic_htn
Alabama,2015,Unknown or Not Stated,20,chronic_htn
Alabama,2016,Yes,1494,chronic_htn
Alabama,2016,No,57654,chronic_htn
Alabama,2017,Yes,1752,chronic_htn
Alabama,2017,No,57186,chronic_htn
Alabama,2018,Yes,1840,chronic_htn
Alabama,2018,No,55917,chronic_htn
Alabama,2019,Yes,2060,chronic_htn
Alabama,2019,No,56551,chronic_htn
Alabama,2020,Yes,2268,chronic_htn
Alabama,2020,No,55377,chronic_htn
Alabama,2021,Yes,2529,chronic_htn
Alabama,2021,No,55525,chronic_htn
Alaska,2007,Yes,136,chronic_htn
Alaska,2007,No,10255,chronic_htn
Alaska,2007,Unknown or Not Stated,661,chronic_htn
Alaska,2008,Yes,157,chronic_htn
Alaska,2008,No,10570,chronic_htn
Alaska,2008,Unknown or Not Stated,715,chronic_htn
Alaska,2009,Yes,163,chronic_htn
Alaska,2009,No,10440,chronic_htn
Alaska,2009,Unknown or Not Stated,721,chronic_htn
Alaska,2010,Yes,180,chronic_htn
Alaska,2010,No,9882,chronic_htn
Alaska,2010,Unknown or Not Stated,1409,chronic_htn
Alaska,2011,Yes,166,chronic_htn
Alaska,2011,No,9296,chronic_htn
Alaska,2011,Unknown or Not Stated,1994,chronic_htn
Alaska,2012,Yes,187,chronic_htn
Alaska,2012,No,8494,chronic_htn
Alaska,2012,Unknown or Not Stated,2506,chronic_htn
Alaska,2013,Yes,293,chronic_htn
Alaska,2013,No,10964,chronic_htn
Alaska,2013,Unknown or Not Stated,189,chronic_htn
Alaska,2014,Yes,303,chronic_htn
Alaska,2014,No,10931,chronic_htn
Alaska,2014,Unknown or Not Stated,158,chronic_htn
Alaska,2015,Yes,296,chronic_htn
Alaska,2015,No,10870,chronic_htn
Alaska,2015,Unknown or Not Stated,116,chronic_htn
Alaska,2016,Yes,327,chronic_htn
Alaska,2016,No,10807,chronic_htn
Alaska,2016,Unknown or Not Stated,75,chronic_htn
Alaska,2017,Yes,363,chronic_htn
Alaska,2017,No,9979,chronic_htn
Alaska,2017,Unknown or Not Stated,103,chronic_htn
Alaska,2018,Yes,305,chronic_htn
Alaska,2018,No,9662,chronic_htn
Alaska,2018,Unknown or Not Stated,119,chronic_htn
Alaska,2019,Yes,352,chronic_htn
Alaska,2019,No,9388,chronic_htn
Alaska,2019,Unknown or Not Stated,82,chronic_htn
Alaska,2020,Yes,339,chronic_htn
Alaska,2020,No,9051,chronic_htn
Alaska,2020,Unknown or Not Stated,79,chronic_htn
Alaska,2021,Yes,426,chronic_htn
Alaska,2021,No,8884,chronic_htn
Alaska,2021,Unknown or Not Stated,57,chronic_htn
Arizona,2007,Yes,641,chronic_htn
Arizona,2007,No,102335,chronic_htn
Arizona,2008,Yes,771,chronic_htn
Arizona,2008,No,98670,chronic_htn
Arizona,2009,Yes,751,chronic_htn
Arizona,2009,No,92044,chronic_htn
Arizona,2010,Yes,769,chronic_htn
Arizona,2010,No,86708,chronic_htn
Arizona,2011,Yes,711,chronic_htn
Arizona,2011,No,84831,chronic_htn
Arizona,2012,Yes,807,chronic_htn
Arizona,2012,No,85633,chronic_htn
Arizona,2013,Yes,956,chronic_htn
Arizona,2013,No,84642,chronic_htn
Arizona,2014,Yes,1039,chronic_htn
Arizona,2014,No,85847,chronic_htn
Arizona,2015,Yes,972,chronic_htn
Arizona,2015,No,84379,chronic_htn
Arizona,2016,Yes,975,chronic_htn
Arizona,2016,No,83545,chronic_htn
Arizona,2017,Yes,1064,chronic_htn
Arizona,2017,No,80808,chronic_htn
Arizona,2018,Yes,1133,chronic_htn
Arizona,2018,No,79590,chronic_htn
Arizona,2019,Yes,1207,chronic_htn
Arizona,2019,No,78166,chronic_htn
Arizona,2020,Yes,1238,chronic_htn
Arizona,2020,No,75708,chronic_htn
Arizona,2021,Yes,1442,chronic_htn
Arizona,2021,No,76474,chronic_htn
Arkansas,2007,Yes,468,chronic_htn
Arkansas,2007,No,40903,chronic_htn
Arkansas,2008,Yes,510,chronic_htn
Arkansas,2008,No,40158,chronic_htn
Arkansas,2009,Yes,576,chronic_htn
Arkansas,2009,No,39228,chronic_htn
Arkansas,2010,Yes,564,chronic_htn
Arkansas,2010,No,37968,chronic_htn
Arkansas,2011,Yes,694,chronic_htn
Arkansas,2011,No,38017,chronic_htn
Arkansas,2012,Yes,643,chronic_htn
Arkansas,2012,No,37700,chronic_htn
Arkansas,2013,Yes,648,chronic_htn
Arkansas,2013,No,37182,chronic_htn
Arkansas,2014,Yes,656,chronic_htn
Arkansas,2014,No,37854,chronic_htn
Arkansas,2015,Yes,641,chronic_htn
Arkansas,2015,No,38244,chronic_htn
Arkansas,2016,Yes,694,chronic_htn
Arkansas,2016,No,37580,chronic_htn
Arkansas,2017,Yes,824,chronic_htn
Arkansas,2017,No,36693,chronic_htn
