state_name,year,condition_status,counts,condition
Alabama,1995,Yes,1987,pregnancy-associated_hypertension
Alabama,1995,No,58140,pregnancy-associated_hypertension
Alabama,1995,Unknown or Not Stated,202,pregnancy-associated_hypertension
Alabama,1996,Yes,2446,pregnancy-associated_hypertension
Alabama,1996,No,57872,pregnancy-associated_hypertension
Alabama,1996,Unknown or Not Stated,170,pregnancy-associated_hypertension
Alabama,1997,Yes,2735,pregnancy-associated_hypertension
Alabama,1997,No,58142,pregnancy-associated_hypertension
Alabama,1997,Unknown or Not Stated,37,pregnancy-associated_hypertension
Alabama,1998,Yes,3147,pregnancy-associated_hypertension
Alabama,1998,No,58918,pregnancy-associated_hypertension
Alabama,1999,Yes,3171,pregnancy-associated_hypertension
Alabama,1999,No,58933,pregnancy-associated_hypertension
Alabama,1999,Unknown or Not Stated,18,pregnancy-associated_hypertension
Alabama,2000,Yes,3082,pregnancy-associated_hypertension
Alabama,2000,No,60204,pregnancy-associated_hypertension
Alabama,2000,Unknown or Not Stated,13,pregnancy-associated_hypertension
Alabama,2001,Yes,3183,pregnancy-associated_hypertension
Alabama,2001,No,57257,pregnancy-associated_hypertension
Alabama,2001,Unknown or Not Stated,14,pregnancy-associated_hypertension
Alabama,2002,Yes,3085,pregnancy-associated_hypertension
Alabama,2002,No,55861,pregnancy-associated_hypertension
Alabama,2002,Unknown or Not Stated,21,pregnancy-associated_hypertension
Alaska,1995,Yes,494,pregnancy-associated_hypertension
Alaska,1995,No,9734,pregnancy-associated_hypertension
Alaska,1995,Unknown or Not Stated,16,pregnancy-associated_hypertension
Alaska,1996,Yes,482,pregnancy-associated_hypertension
Alaska,1996,No,9544,pregnancy-associated_hypertension
Alaska,1996,Unknown or Not Stated,11,pregnancy-associated_hypertension
Alaska,1997,Yes,450,pregnancy-associated_hypertension
Alaska,1997,No,9484,pregnancy-associated_hypertension
Alaska,1997,Unknown or Not Stated,13,pregnancy-associated_hypertension
Alaska,1998,Yes,370,pregnancy-associated_hypertension
Alaska,1998,No,9527,pregnancy-associated_hypertension
Alaska,1998,Unknown or Not Stated,29,pregnancy-associated_hypertension
Alaska,1999,Yes,409,pregnancy-associated_hypertension
Alaska,1999,No,9472,pregnancy-associated_hypertension
Alaska,1999,Unknown or Not Stated,69,pregnancy-associated_hypertension
Alaska,2000,Yes,360,pregnancy-associated_hypertension
Alaska,2000,No,9454,pregnancy-associated_hypertension
Alaska,2000,Unknown or Not Stated,160,pregnancy-associated_hypertension
Alaska,2001,Yes,355,pregnancy-associated_hypertension
Alaska,2001,No,9380,pregnancy-associated_hypertension
Alaska,2001,Unknown or Not Stated,268,pregnancy-associated_hypertension
Alaska,2002,Yes,303,pregnancy-associated_hypertension
Alaska,2002,No,9317,pregnancy-associated_hypertension
Alaska,2002,Unknown or Not Stated,318,pregnancy-associated_hypertension
Arizona,1995,Yes,1693,pregnancy-associated_hypertension
Arizona,1995,No,70762,pregnancy-associated_hypertension
Arizona,1996,Yes,1864,pregnancy-associated_hypertension
Arizona,1996,No,73455,pregnancy-associated_hypertension
Arizona,1997,Yes,1973,pregnancy-associated_hypertension
Arizona,1997,No,73721,pregnancy-associated_hypertension
Arizona,1998,Yes,2178,pregnancy-associated_hypertension
Arizona,1998,No,76062,pregnancy-associated_hypertension
Arizona,1999,Yes,2322,pregnancy-associated_hypertension
Arizona,1999,No,78817,pregnancy-associated_hypertension
Arizona,2000,Yes,2603,pregnancy-associated_hypertension
Arizona,2000,No,82665,pregnancy-associated_hypertension
Arizona,2001,Yes,2250,pregnancy-associated_hypertension
Arizona,2001,No,83343,pregnancy-associated_hypertension
Arizona,2002,Yes,2224,pregnancy-associated_hypertension
Arizona,2002,No,85603,pregnancy-associated_hypertension
Arizona,2002,Unknown or Not Stated,10,pregnancy-associated_hypertension
Arkansas,1995,Yes,1538,pregnancy-associated_hypertension
Arkansas,1995,No,33422,pregnancy-associated_hypertension
Arkansas,1995,Unknown or Not Stated,215,pregnancy-associated_hypertension
Arkansas,1996,Yes,1738,pregnancy-associated_hypertension
Arkansas,1996,No,34449,pregnancy-associated_hypertension
Arkansas,1996,Unknown or Not Stated,184,pregnancy-associated_hypertension
Arkansas,1997,Yes,1774,pregnancy-associated_hypertension
Arkansas,1997,No,34570,pregnancy-associated_hypertension
Arkansas,1997,Unknown or Not Stated,134,pregnancy-associated_hypertension
Arkansas,1998,Yes,2061,pregnancy-associated_hypertension
Arkansas,1998,No,34632,pregnancy-associated_hypertension
Arkansas,1998,Unknown or Not Stated,172,pregnancy-associated_hypertension
